la_code,la_name,n_state_special_schools,state_special_capacity,n_indep_special_schools,indep_special_sector_capacity,special_state_placements,special_indep_placements,special_total,pct_special_independent,maintained_special_capacity_per1000,indep_placements_per1000
E09000020,Kensington and Chelsea,3.0,216.0,2.0,95.0,151.0,39.0,203.0,19.21182266009852,2.255639097744361,0.40726817042606517
E09000025,Newham,3.0,379.0,1.0,186.0,317.0,24.0,365.0,6.575342465753424,1.4748459000062262,0.09339393562044705
E06000032,Luton,4.0,933.0,1.0,100.0,893.0,32.0,928.0,3.4482758620689653,5.531708011193853,0.189726319783712
E10000024,Nottinghamshire,12.0,1403.0,14.0,774.0,1367.0,275.0,1745.0,15.759312320916905,2.720806118807887,0.5333012706145183
E08000021,Newcastle upon Tyne,4.0,920.0,,,895.0,41.0,1043.0,3.9309683604985617,4.905306261730081,0.2186060399249275
E06000054,Wiltshire,4.0,708.0,10.0,673.0,1151.0,303.0,1478.0,20.50067658998647,2.3344763914534425,0.9990767607491428
E08000033,Calderdale,3.0,70.0,8.0,379.0,510.0,109.0,648.0,16.820987654320987,0.4772553725319079,0.7431547943711138
E06000035,Medway,5.0,1017.0,4.0,383.0,1154.0,305.0,1479.0,20.622041920216365,4.805965635219175,1.4413171275731054
E06000064,Westmorland and Furness,3.0,342.0,8.0,266.0,314.0,118.0,432.0,27.314814814814813,2.6787392693777803,0.9242433736449652
E06000044,Portsmouth,5.0,762.0,,,650.0,20.0,676.0,2.9585798816568047,6.314219423268147,0.16572754391779912
E06000012,North East Lincolnshire,2.0,326.0,2.0,116.0,341.0,137.0,489.0,28.016359918200408,3.420058749475451,1.4372639530004196
E09000026,Redbridge,5.0,834.0,3.0,36.0,674.0,22.0,760.0,2.8947368421052633,3.438551355630319,0.09070519163533215
E10000034,Worcestershire,9.0,1719.0,15.0,637.0,1835.0,384.0,2235.0,17.181208053691275,4.800924994972853,1.0724579395401836
E10000031,Warwickshire,11.0,1667.0,13.0,648.0,1723.0,317.0,2047.0,15.486077186126037,4.2513797219133505,0.808450732961327
E10000018,Leicestershire,9.0,1913.0,24.0,1256.0,1865.0,380.0,2255.0,16.851441241685144,4.453808902961446,0.8847085118271558
E06000003,Redcar and Cleveland,4.0,336.0,2.0,65.0,502.0,84.0,589.0,14.261460101867574,4.002287021154946,1.0005717552887365
E10000002,Buckinghamshire,,,,,1735.0,171.0,1937.0,8.828084667010842,,
E06000023,"Bristol, City of",11.0,1226.0,6.0,342.0,1142.0,179.0,1325.0,13.50943396226415,4.367776780243114,0.6377096604106993
E09000021,Kingston upon Thames,4.0,655.0,,,456.0,101.0,578.0,17.474048442906575,5.280895252837977,0.8143059855521156
E06000008,Blackburn with Darwen,3.0,435.0,2.0,69.0,401.0,73.0,488.0,14.959016393442623,3.5839045610334828,0.6014368573688372
E08000013,St. Helens,3.0,457.0,5.0,295.0,418.0,94.0,556.0,16.906474820143885,4.1701646165638575,0.8577581487024127
E08000022,North Tyneside,4.0,423.0,3.0,205.0,807.0,32.0,867.0,3.690888119953864,3.3648339060710195,0.2545500827287769
E08000035,Leeds,9.0,2278.0,5.0,291.0,1994.0,117.0,2171.0,5.389221556886228,4.158694921937754,0.21359407632428326
E09000008,Croydon,9.0,1426.0,10.0,985.0,1419.0,248.0,1681.0,14.753123140987507,5.530818995609476,0.9618815644538219
E10000025,Oxfordshire,15.0,1351.0,9.0,703.0,1400.0,297.0,1742.0,17.049368541905853,2.828466389193625,0.6218020115399754
E09000002,Barking and Dagenham,4.0,450.0,4.0,130.0,621.0,49.0,676.0,7.2485207100591715,2.4286516126246704,0.2644531755969086
E09000015,Harrow,4.0,410.0,2.0,138.0,550.0,173.0,735.0,23.537414965986393,2.3959234239498843,1.0109628105934878
E10000020,Norfolk,16.0,2192.0,21.0,1144.0,2184.0,840.0,3027.0,27.750247770069375,4.423457238568027,1.695120474633733
E06000007,Warrington,3.0,383.0,2.0,160.0,434.0,89.0,555.0,16.036036036036037,2.881259027443428,0.6695353875782378
E06000027,Torbay,3.0,507.0,1.0,115.0,517.0,35.0,554.0,6.31768953068592,6.342256692519389,0.43782837127845886
E09000011,Greenwich,5.0,801.0,5.0,318.0,582.0,87.0,680.0,12.794117647058822,4.172396549568696,0.45318164770596325
E10000029,Suffolk,15.0,1684.0,15.0,753.0,1599.0,387.0,1996.0,19.38877755511022,3.784541809748117,0.8697254634041099
E06000046,Isle of Wight,2.0,396.0,1.0,8.0,319.0,10.0,395.0,2.5316455696202533,5.819079527420207,0.14694645271263151
E08000028,Sandwell,6.0,557.0,3.0,110.0,878.0,146.0,1024.0,14.2578125,2.1879173540733756,0.5734935972975096
E08000015,Wirral,10.0,1472.0,5.0,253.0,1488.0,67.0,1632.0,4.105392156862745,7.140085370585952,0.3249902987970508
E10000003,Cambridgeshire,13.0,1824.0,15.0,745.0,1686.0,244.0,1936.0,12.603305785123966,4.4004400440044,0.5886553567637466
E08000031,Wolverhampton,8.0,1091.0,6.0,260.0,817.0,81.0,899.0,9.010011123470523,5.211119602598395,0.3868933893771494
E06000039,Slough,2.0,423.0,2.0,317.0,407.0,35.0,451.0,7.760532150776053,3.0401908923643055,0.2515524379024839
E09000007,Camden,5.0,330.0,2.0,66.0,321.0,71.0,399.0,17.794486215538846,2.7730160330745184,0.5966186010554267
E08000014,Sefton,5.0,794.0,8.0,269.0,818.0,169.0,1055.0,16.018957345971565,4.694891201513718,0.999290444654683
E06000017,Rutland,,,,,52.0,21.0,74.0,28.37837837837838,,0.6609593352637543
E06000045,Southampton,6.0,855.0,3.0,194.0,859.0,34.0,897.0,3.79041248606466,5.958686440677966,0.23695361284567348
E08000036,Wakefield,4.0,632.0,8.0,498.0,687.0,125.0,820.0,15.24390243902439,2.7111896631604235,0.536232132745337
E08000008,Tameside,5.0,819.0,6.0,134.0,1006.0,108.0,1124.0,9.608540925266903,5.444609902675105,0.7179705366164973
E06000004,Stockton-on-Tees,4.0,681.0,4.0,251.0,667.0,144.0,816.0,17.647058823529413,4.9849207975873275,1.054080168652827
E06000016,Leicester,8.0,1312.0,5.0,214.0,1211.0,150.0,1364.0,10.997067448680351,5.193160227992401,0.5937302089930336
E06000026,Plymouth,7.0,726.0,1.0,125.0,668.0,82.0,751.0,10.918774966711052,4.566497257585669,0.5157751723443869
E09000031,Waltham Forest,4.0,846.0,,,741.0,35.0,801.0,4.369538077403246,4.814258399344442,0.1991714467813894
E06000042,Milton Keynes,6.0,1007.0,4.0,216.0,957.0,61.0,1019.0,5.986261040235525,4.706751173182268,0.28511600949763494
