la_code,la_name,region,intervention_status,n_requests,n_requests_refused,n_ehcp_active,n_plans_issued,refusal_rate_pct,timeliness_pct,n_tribunal_appeals,n_total_appealable_decisions,la_official_appeal_rate_pct,dsg_deficit_per_pupil,imd_average_score,flag_high_refusal,flag_low_timeliness,is_small_la,dsg_financial_stress_per_pupil,dsg_balance_2324,dsg_deficit_per_pupil,n_timely_plans,throughput_stress,throughput_stress_z
E08000012,Liverpool,North West,,2388.0,847.0,5820.0,1285.0,35.46901172529313,97.9,4476.0,,7.8,380.0,42.412,False,False,False,17.841847450166636,-5674778.0,17.841847450166636,1258.015,1.8982285584830068,-0.5176892077542568
E08000006,Salford,North West,Safety Valve,946.0,331.0,3206.0,461.0,34.98942917547569,50.1,2407.0,,4.0,,34.21,False,False,False,-46.366820609837525,8333045.0,-46.366820609837525,230.961,4.095929615822585,-0.2791121534383122
E10000030,Surrey,South East,Safety Valve,3022.0,1050.0,14245.0,2134.0,34.74520185307743,40.6,,,,1240.0,11.2,False,False,False,-97.4078183412789,79522574.0,-97.4078183412789,866.4040000000001,3.487980203230825,-0.34510965548476075
E09000022,Lambeth,London,,752.0,261.0,3332.0,423.0,34.70744680851064,83.9,1682.0,,2.6,,25.422,False,False,False,52.10278945099941,-7736639.0,52.10278945099941,354.89700000000005,2.1189246457422857,-0.49373098003191485
E06000036,Bracknell Forest,South East,Safety Valve,312.0,106.0,1469.0,206.0,33.97435897435898,45.1,854.0,,12.4,370.0,10.241,False,False,False,-203.65135525188293,18062246.0,-203.65135525188293,92.906,3.3582330527630075,-0.35919468896150286
E06000037,West Berkshire,South East,Delivering Better Value,475.0,160.0,1531.0,269.0,33.68421052631579,48.0,827.0,,7.7,,9.952,False,False,False,-78.25796647785617,9450119.0,-78.25796647785617,129.12,3.6787484510532837,-0.324400320850508
E06000041,Wokingham,South East,Safety Valve,471.0,158.0,1948.0,251.0,33.54564755838641,56.2,1155.0,,8.7,-90.0,5.846,False,False,False,-146.7285510909672,20201000.0,-146.7285510909672,141.062,3.3389573379081536,-0.36128721344500664
E08000002,Bury,North West,Safety Valve,560.0,184.0,2686.0,296.0,32.857142857142854,99.0,1546.0,,4.2,,23.682,False,False,False,-148.92288950561507,18459290.0,-148.92288950561507,293.04,1.911001911001911,-0.516302563830361
E06000022,Bath and North East Somerset,South West,Safety Valve,475.0,156.0,2230.0,349.0,32.8421052631579,24.1,995.0,,5.0,,11.745,False,False,False,-174.57691101282896,22262746.0,-174.57691101282896,84.109,5.647433687239178,-0.11068466423017852
E06000031,Peterborough,East of England,,685.0,223.0,2625.0,389.0,32.55474452554745,86.1,1444.0,,3.4,450.0,27.821,False,False,False,12.817451756673462,-2162663.0,12.817451756673462,334.9289999999999,2.0452095817322484,-0.5017333071780442
E08000037,Gateshead,North East,,363.0,118.0,1686.0,266.0,32.5068870523416,82.3,1186.0,,11.2,,28.217,False,False,False,22.377263150964513,-2719106.0,22.377263150964513,218.918,1.658155108305393,-0.5437509946253867
