la_code,la_name,region,intervention_status,pct_ASD_now,pct_SEMH_now,pct_MLD_now,pct_SLD_now,pct_SLCN_now,total_ehcp_now,supply_pct_ASD,supply_pct_MLD,supply_pct_Other,supply_pct_SEMH,supply_pct_SLCN,supply_pct_SLD,pct_ASD_1516,pct_SEMH_1516,pct_MLD_1516,pct_SLD_1516,asd_gap,semh_gap,mld_gap,mismatch_index,asd_demand_shift,semh_demand_shift,indep_per_ehcp,log_indep_per_ehcp
E10000032,West Sussex,South East,Safety Valve,27.8,22.6,11.2,1.2,26.5,9301,33.790283790283794,0.0,33.694083694083695,6.0606060606060606,13.275613275613276,13.17941317941318,20.590024330900246,10.31021897810219,13.199513381995134,9.82360097323601,-5.990283790283794,16.53939393939394,11.2,16.53939393939394,7.209975669099755,12.289781021897811,7129.388469547111,8.871980741083032
E10000007,Derbyshire,East Midlands,Safety Valve,41.9,19.3,8.6,3.4,9.2,7625,29.909154437456326,0.0,48.56743535988819,3.004891684136967,6.638714185883996,11.87980433263452,27.812397507379465,18.530665792062972,13.18465070514923,8.789767136766152,11.990845562543672,16.295108315863033,8.6,28.285953878406705,14.087602492620533,0.7693342079370282,4698.697041233869,8.455040523994732
E08000011,Knowsley,North West,Delivering Better Value,33.7,20.8,4.5,14.1,19.0,2789,31.753554502369667,0.0,53.712480252764614,14.533965244865717,0.0,0.0,29.733333333333334,14.799999999999999,13.200000000000001,13.866666666666665,1.9464454976303358,6.266034755134283,4.5,8.21248025276462,3.9666666666666686,6.000000000000002,5659.942857142857,8.641169075235108
E08000034,Kirklees,Yorkshire and The Humber,Delivering Better Value,18.3,23.8,7.9,5.0,25.0,4475,28.579988016776515,23.96644697423607,34.51168364289994,7.549430796884361,5.392450569203116,0.0,14.422535211267606,16.3943661971831,11.04225352112676,9.070422535211268,-10.279988016776514,16.25056920311564,-16.066446974236072,16.25056920311564,3.8774647887323948,7.405633802816901,2833.7141818181817,7.949343561889427
E08000032,Bradford,Yorkshire and The Humber,Delivering Better Value,25.7,23.3,2.3,7.9,29.7,7493,68.90365448504984,0.0,24.451827242524917,0.0,6.64451827242525,0.0,25.971563981042657,14.976303317535544,6.729857819905213,18.246445497630333,-43.20365448504984,23.3,2.3,23.3,-0.27156398104265733,8.323696682464456,3310.605344454742,8.104886335171026
E06000043,Brighton and Hove,South East,No intervention,39.8,20.4,6.6,4.3,15.4,2800,0.0,0.0,100.0,0.0,0.0,0.0,16.973811833171677,10.572259941804074,8.535402521823473,15.615906886517944,39.8,20.4,6.6,60.199999999999996,22.82618816682832,9.827740058195925,3890.132181599036,8.2661984158807
E06000038,Reading,South East,Delivering Better Value,33.1,20.8,12.2,3.5,20.4,1966,0.0,0.0,34.19203747072599,7.494145199063232,0.0,58.31381733021077,27.986906710310965,20.621931260229132,7.6923076923076925,16.693944353518823,33.1,13.305854800936768,12.2,46.405854800936766,5.113093289689036,0.17806873977086823,3183.1929375639716,8.065640040451038
E10000013,Gloucestershire,South West,Safety Valve,18.4,23.3,24.3,1.8,23.5,6412,0.0,12.85563751317176,66.77204074464348,7.024938531787847,5.619950825430277,7.727432384966631,15.986099044309295,14.639443961772372,13.64031277150304,22.589052997393573,18.4,16.275061468212154,11.44436248682824,34.67506146821215,2.4139009556907034,8.660556038227629,4068.751361470388,8.311091440573202
E06000057,Northumberland,North East,No intervention,27.7,26.6,8.9,2.3,23.0,3873,,,,,,,,,,,,,,,,,2226.816918429003,7.7083284539224
E06000020,Telford and Wrekin,West Midlands,No intervention,20.6,30.3,13.4,6.1,18.6,2439,0.0,0.0,21.550094517958414,0.0,53.780718336483936,24.669187145557654,18.017057569296373,17.803837953091683,17.057569296375267,11.513859275053305,20.6,30.3,13.4,50.900000000000006,2.5829424307036284,12.496162046908317,3067.895009416196,8.028746940720428
E09000006,Bromley,London,No intervention,18.4,18.9,6.9,6.5,34.4,4395,37.66233766233766,30.696576151121608,11.80637544273908,19.834710743801654,0.0,0.0,23.263654753877276,9.844908968307484,6.810519217801753,16.11598111935266,-19.262337662337664,-0.9347107438016558,-23.796576151121606,0.0,-4.863654753877277,9.055091031692514,6113.535740604274,8.71826056574435
E08000009,Trafford,North West,Delivering Better Value,22.6,26.3,10.1,3.6,24.1,3143,26.166593981683384,0.0,40.907108591365024,11.382468382032272,21.54382904491932,0.0,22.559171597633135,15.014792899408283,17.67751479289941,8.210059171597633,-3.5665939816833827,14.917531617967729,10.1,14.917531617967729,0.040828402366866356,11.285207100591718,2498.514800952705,7.823451754702156
E06000013,North Lincolnshire,Yorkshire and The Humber,Delivering Better Value,25.8,28.5,10.7,1.8,24.1,1664,39.726027397260275,0.0,60.273972602739725,0.0,0.0,0.0,17.24137931034483,9.44527736131934,19.640179910044978,10.494752623688155,-13.926027397260274,28.5,10.7,28.5,8.558620689655172,19.05472263868066,5442.856258596974,8.602059249596968
E06000001,Hartlepool,North East,Delivering Better Value,32.3,20.8,14.8,3.2,14.6,966,60.72351421188631,0.0,39.276485788113696,0.0,0.0,0.0,23.738872403560833,13.649851632047477,19.881305637982198,11.869436201780417,-28.423514211886314,20.8,14.8,20.8,8.561127596439164,7.150148367952523,6596.5168800931315,8.794297043267443
E09000027,Richmond upon Thames,London,No intervention,38.2,12.8,9.7,1.3,22.4,2018,48.338368580060425,0.0,0.0,0.0,51.66163141993958,0.0,26.904761904761905,10.714285714285714,20.833333333333336,3.571428571428571,-10.138368580060423,12.8,9.7,12.8,11.295238095238098,2.085714285714287,9003.160152008686,9.105330922688312
E08000007,Stockport,North West,Delivering Better Value,25.8,22.4,10.2,3.3,19.1,3506,38.00943800943801,23.50922350922351,29.472329472329474,9.00900900900901,0.0,0.0,28.356336260978672,20.138017565872023,15.119196988707653,8.09284818067754,-12.209438009438006,13.39099099099099,-13.30922350922351,13.39099099099099,-2.5563362609786715,2.261982434127976,5247.631460674157,8.565532103438953
E08000023,South Tyneside,North East,Delivering Better Value,45.4,19.8,12.6,3.0,9.3,1776,0.0,0.0,87.8048780487805,12.195121951219512,0.0,0.0,23.00405953991881,14.208389715832206,23.68064952638701,10.960757780784844,45.4,7.604878048780488,12.6,53.00487804878048,22.39594046008119,5.591610284167794,3795.7305213825425,8.241632167057777
E08000010,Wigan,North West,Delivering Better Value,29.4,25.3,10.7,7.4,18.9,3579,14.39820022497188,0.0,52.86839145106862,17.99775028121485,14.735658042744657,0.0,18.629908103592314,22.890559732664993,10.693400167084377,15.288220551378446,15.001799775028118,7.302249718785152,10.7,22.30404949381327,10.770091896407685,2.4094402673350075,4497.815239379636,8.4113470555039
E09000004,Bexley,London,Delivering Better Value,36.1,13.9,5.3,4.9,28.6,3267,34.46204259967231,15.29219006007646,0.0,17.476788640087385,0.0,32.76897870016384,39.62264150943396,7.547169811320755,12.668463611859837,10.60197663971249,1.6379574003276929,-3.5767886400873845,-9.99219006007646,1.6379574003276929,-3.52264150943396,6.3528301886792455,2206.837723577236,7.699315875495979
E08000026,Coventry,West Midlands,Delivering Better Value,35.0,16.5,15.6,3.7,20.1,3477,10.742496050552923,0.0,77.25118483412322,12.006319115323855,0.0,0.0,21.325209444021326,11.652703731911652,20.86824067022087,20.106626047220104,24.257503949447077,4.493680884676145,15.6,28.751184834123222,13.674790555978674,4.847296268088348,2564.878184193338,7.8496662649345526
E10000023,North Yorkshire,Yorkshire and The Humber,Safety Valve,38.4,20.8,12.7,3.9,12.9,5486,43.12623925974884,0.0,25.049570389953736,14.606741573033707,17.217448777263712,0.0,29.240806642941873,15.480427046263346,10.676156583629894,9.9644128113879,-4.726239259748844,6.193258426966294,12.7,6.193258426966294,9.159193357058125,5.319572953736655,3829.0736756647048,8.250378192782048
E09000012,Hackney,London,No intervention,35.8,18.7,9.0,2.4,24.4,3681,42.5531914893617,0.0,57.446808510638306,0.0,0.0,0.0,31.945556445156125,10.88871096877502,9.76781425140112,7.846277021617294,-6.753191489361704,18.7,9.0,18.7,3.854443554843872,7.8112890312249785,5297.507234042553,8.574991655699343
E09000033,Westminster,London,No intervention,44.2,7.8,3.6,2.2,24.2,1429,77.70700636942675,0.0,22.29299363057325,0.0,0.0,0.0,26.53061224489796,6.802721088435375,5.3061224489795915,5.850340136054422,-33.50700636942675,7.8,3.6,7.8,17.669387755102044,0.9972789115646252,5271.697806086341,8.570107753994378
E06000014,York,Yorkshire and The Humber,No intervention,41.1,20.8,8.9,2.0,16.1,1556,0.0,0.0,100.0,0.0,0.0,0.0,29.946524064171122,9.62566844919786,18.89483065953654,9.982174688057041,41.1,20.8,8.9,61.900000000000006,11.15347593582888,11.17433155080214,3889.13649851632,8.26594243215547
E09000005,Brent,London,No intervention,36.0,10.7,16.2,4.8,21.4,3791,5.445544554455446,19.306930693069308,55.84158415841585,0.0,19.405940594059405,0.0,32.90190735694823,8.651226158038147,11.239782016348773,12.125340599455042,30.554455445544555,10.7,-3.106930693069309,41.25445544554455,3.0980926430517712,2.048773841961852,3976.131142857143,8.2880645508485
E08000005,Rochdale,North West,Delivering Better Value,33.5,19.5,5.0,4.4,16.7,2970,15.483870967741936,15.483870967741936,56.12903225806451,12.903225806451612,0.0,0.0,30.264357338195076,12.03281677301732,11.121239744758432,11.030082041932543,18.016129032258064,6.596774193548388,-10.483870967741936,24.612903225806452,3.235642661804924,7.46718322698268,3483.897136797455,8.155906813081158
E06000033,Southend-on-Sea,East of England,Safety Valve,31.4,18.1,14.0,1.8,25.9,1992,49.833333333333336,0.0,39.33333333333333,10.833333333333334,0.0,0.0,25.371549893842886,15.817409766454352,16.13588110403397,14.755838641188959,-18.433333333333337,7.2666666666666675,14.0,7.2666666666666675,6.028450106157113,2.2825902335456494,1615.0466321243523,7.387119109620304
E06000021,Stoke-on-Trent,West Midlands,Delivering Better Value,19.2,22.6,20.2,2.2,28.5,3405,19.95798319327731,0.0,65.33613445378151,14.705882352941178,0.0,0.0,16.02399314481577,15.424164524421593,29.82005141388175,9.168808911739502,-0.7579831932773118,7.894117647058824,20.2,7.894117647058824,3.17600685518423,7.175835475578408,7289.297306397307,8.894162428916053
